latitude|longitude|Date
9.4895|-79.858|07-12
8.9572|-79.5747|07-12
8.85788|-79.45894|07-12
9.37135|-79.88805|07-12
8.8767|-79.47422|07-12
8.87811|-79.45951|07-12
8.87862|-79.49618|07-12
9.37077|-79.93513|07-12
9.441980000000001|-79.86277|07-12
9.45192|-79.9798|07-12
9.44601|-79.87798|07-12
8.97315|-79.58234|07-12
9.3612|-79.88461|07-12
9.36943|-79.88593|07-12
9.35613|-79.88243|07-12
9.40931|-79.94698|07-12
8.85282|-79.47855|07-12
8.9612|-79.56803|07-12
9.26623|-79.91149|07-12
8.95926|-79.57569|07-12
9.47683|-79.84365|07-12
8.78208|-79.58417|07-12
8.73152|-79.40785|07-12
9.5845|-79.86211|07-12
9.55339|-79.84031|07-12
8.80321|-79.4397|07-12
9.57529|-79.86781|07-12
8.79439|-79.43918|07-12
8.784510000000001|-79.43495|07-12
8.74483|-79.41696|07-12
9.56777|-79.88465|07-12
9.51272|-79.98527|07-12
9.60863|-79.87324|07-12
8.95022|-79.56935|07-13
9.37533|-79.89075|07-13
8.96027|-79.56727|07-13
9.36121|-79.88463|07-13
9.51977|-79.85821|07-13
9.40669|-79.95199|07-13
9.2844|-79.91418|07-13
9.36659|-79.92777|07-13
9.37105|-79.88698|07-13
9.49835|-79.93363|07-13
8.9715|-79.58112|07-13
9.37432|-79.91842|07-13
9.37041|-79.93696|07-13
9.37229|-79.88511|07-13
9.36448|-79.93535|07-13
9.53733|-79.89559|07-13
8.95416|-79.57489|07-13
8.82471|-79.47568|07-13
9.48833|-79.86083|07-13
9.35222|-79.9076|07-13
9.3728|-79.88885|07-13
8.96002|-79.57606|07-13
8.95794|-79.56512|07-13
9.43377|-79.86326|07-13
8.96252|-79.56926|07-13
9.27422|-79.92303|07-13
9.35091|-79.90768|07-13
9.35235|-79.91065|07-13
9.35813|-79.89084|07-13
9.44258|-79.88581|07-13
9.01402|-79.61695|07-13
9.35717|-79.8835|07-13
9.46296|-79.88551|07-13
9.362870000000001|-79.88673|07-13
8.76495|-79.41504|07-13
8.71415|-79.3953|07-13
8.76685|-79.41753|07-13
8.77247|-79.42986|07-13
9.62277|-79.84724|07-13
9.56213|-79.88498|07-13
9.53418|-79.87125|07-13
9.560880000000001|-79.88755|07-13
9.54137|-79.87966|07-13
8.71978|-79.40387|07-13
8.73525|-79.41721|07-13
9.56216|-79.86248|07-13
9.564070000000001|-79.87797|07-13
8.74443|-79.41344|07-13
8.82317|-79.53133|07-14
9.42842|-79.92925|07-14
9.44406|-79.88563|07-14
9.3715|-79.88617|07-14
9.36691|-79.88432|07-14
8.95424|-79.57454|07-14
9.01441|-79.61771|07-14
8.8357|-79.50159|07-14
9.35084|-79.9075|07-14
9.6257|-79.76775|07-14
8.9741|-79.58302|07-14
9.46755|-79.86441|07-14
9.3522|-79.90771|07-14
8.80344|-79.44464|07-14
9.48983|-79.86167|07-14
8.854190000000001|-79.47009|07-14
9.36361|-79.88578|07-14
9.46377|-79.8366|07-14
9.36095|-79.8847|07-14
8.84165|-79.4827|07-14
9.44618|-79.8699|07-14
9.46422|-79.88614|07-14
9.35815|-79.89085|07-14
9.35334|-79.90939|07-14
9.36533|-79.93635|07-14
9.27026|-79.91221|07-14
8.98122|-79.58879|07-14
8.95994|-79.57611|07-14
8.95728|-79.57459|07-14
9.60922|-79.84613|07-14
9.62063|-79.87362|07-14
8.81573|-79.43934|07-14
8.73934|-79.41169|07-14
9.62572|-79.88646|07-14
8.75447|-79.41057|07-14
8.79035|-79.43553|07-14
9.576270000000001|-79.85823|07-14
8.74886|-79.41598|07-14
8.7897|-79.43078|07-14
9.48305|-79.91733|07-14
8.80079|-79.43144|07-14
8.78676|-79.43086|07-14
9.55646|-79.87375|07-14
8.74876|-79.40414|07-14
9.59762|-79.84862|07-14
8.95777|-79.56508|07-15
9.38467|-79.89664|07-15
8.83383|-79.50239|07-15
9.45912|-79.94095|07-15
8.98037|-79.58795|07-15
9.58101|-79.79865|07-15
9.43923|-79.85139|07-15
8.96059|-79.57651|07-15
8.87605|-79.4688|07-15
8.9537|-79.5672|07-15
9.35962|-79.88393|07-15
9.3574|-79.91874|07-15
8.96247|-79.56927|07-15
8.85408|-79.4629|07-15
8.86533|-79.47639|07-15
9.3694|-79.88562|07-15
9.3507|-79.9129|07-15
8.82216|-79.48893|07-15
9.37581|-79.89108|07-15
9.3581|-79.89079|07-15
8.95573|-79.56562|07-15
8.99009|-79.58504|07-15
9.45803|-79.88932|07-15
9.3724|-79.88513|07-15
9.49017|-79.85617|07-15
9.35084|-79.90766|07-15
9.43035|-79.92517|07-15
9.35234|-79.90776|07-15
9.35578|-79.88235|07-15
8.7595|-79.4162|07-15
9.46867|-79.85897|07-15
9.55334|-79.87538|07-15
9.5758|-79.87964|07-15
8.83844|-79.46004|07-15
9.50554|-79.88852|07-15
9.52066|-79.99252|07-15
9.58161|-79.87952|07-15
8.71945|-79.39262|07-15
9.62137|-79.85049|07-15
8.73405|-79.40796|07-15
9.55279|-79.88635|07-15
9.59999|-79.85225|07-15
9.60151|-79.86706|07-15
9.61598|-79.88197|07-15
8.75575|-79.41617|07-15
8.96115|-79.56801|07-16
9.52528|-79.85305|07-16
8.89|-79.50017|07-16
8.83183|-79.50585|07-16
8.8514|-79.53418|07-16
9.40488|-79.95118|07-16
9.37209|-79.88554|07-16
9.01398|-79.61697|07-16
9.352360000000001|-79.90762|07-16
9.35813|-79.8908|07-16
8.86116|-79.47055|07-16
9.36162|-79.88489|07-16
9.46692|-79.83915|07-16
9.27988|-79.91373|07-16
9.371|-79.88712|07-16
9.49531|-79.8721|07-16
8.97656|-79.58494|07-16
8.82438|-79.4614|07-16
9.37208|-79.88858|07-16
9.49022|-79.84939|07-16
9.36567|-79.93083|07-16
8.98277|-79.58985|07-16
9.46906|-79.85901|07-16
8.95769|-79.56497|07-16
8.89494|-79.52708|07-16
9.3633|-79.88554|07-16
9.35087|-79.90763|07-16
9.35964|-79.88408|07-16
9.35228|-79.91086|07-16
9.41787|-79.89572|07-16
9.47822|-79.84474|07-16
8.8209|-79.49089|07-16
8.96262|-79.56953|07-16
9.53395|-79.86192|07-16
8.72615|-79.40624|07-16
9.59717|-79.85165|07-16
8.77142|-79.42373|07-16
9.61878|-79.85353|07-16
8.74053|-79.40661|07-16
9.61864|-79.86475|07-16
8.71506|-79.39448|07-16
8.75144|-79.41514|07-16
8.72875|-79.40732|07-16
9.60718|-79.84652|07-16
9.608460000000001|-79.87145|07-16
9.5235|-80.00367|07-16
8.89006|-79.50039|07-17
9.5961|-79.93237|07-17
9.35085|-79.90756|07-17
8.98855|-79.59463|07-17
8.96261|-79.5695|07-17
9.4588|-79.84509|07-17
9.36483|-79.9315|07-17
8.95475|-79.5664|07-17
8.955680000000001|-79.56544|07-17
9.35837|-79.88356|07-17
9.46943|-79.86019|07-17
9.36916|-79.88658|07-17
8.9465|-79.56796|07-17
9.42697|-79.89777|07-17
9.37209|-79.88554|07-17
8.88425|-79.50743|07-17
9.41583|-79.89967|07-17
9.36154|-79.88492|07-17
9.41504|-79.89345|07-17
9.36697|-79.884|07-17
9.47818|-79.8465|07-17
9.37448|-79.89028|07-17
9.49465|-79.87374|07-17
8.82093|-79.49086|07-17
8.9961|-79.59138|07-17
9.35808|-79.89081|07-17
8.85808|-79.47876|07-17
8.95778|-79.5651|07-17
9.35228|-79.91089|07-17
9.44669|-79.83919|07-17
8.95971|-79.57607|07-17
8.73714|-79.4117|07-17
8.78492|-79.42634|07-17
9.54933|-79.87183|07-17
8.76087|-79.41453|07-17
8.74019|-79.41393|07-17
9.61255|-79.84654|07-17
9.61848|-79.86627|07-17
9.55987|-79.8749|07-17
8.74558|-79.42009|07-17
8.80547|-79.44273|07-17
9.47938|-79.90597|07-17
8.79084|-79.4374|07-17
8.8048|-79.45475|07-17
8.71807|-79.40881|07-17
8.961030000000001|-79.56798|07-18
8.88297|-79.49287|07-18
9.35815|-79.89082|07-18
9.365|-79.931|07-18
8.977970000000001|-79.58622|07-18
9.356|-79.8825|07-18
8.9602|-79.57638|07-18
9.45773|-79.87204|07-18
9.50093|-79.95105|07-18
9.37209|-79.88554|07-18
9.27932|-79.91354|07-18
8.82116|-79.49256|07-18
8.82849|-79.59425|07-18
9.36693|-79.88412|07-18
9.46785|-79.82474|07-18
8.88672|-79.50363|07-18
9.49386|-79.8736|07-18
8.96283|-79.5695|07-18
9.44884|-79.88133|07-18
8.95533|-79.56567|07-18
9.59067|-79.77583|07-18
8.86848|-79.45364000000001|07-18
9.46806|-79.87969|07-18
8.85821|-79.48094|07-18
9.50211|-79.89623|07-18
8.78669|-79.4285|07-18
8.78755|-79.43411|07-18
9.53496|-79.8766|07-18
9.55782|-79.87332|07-18
9.56689|-79.87118|07-18
